Education;JoiningYear;City;PaymentTier (1: HIGHEST 2: MID LEVEL 3:LOWEST);Salary;Age;Gender;ExperienceInCurrentField;LeaveOrNot
Bachelors;2015;Bangalore;3;527;27;Female;5;0
Bachelors;2017;Pune;2;748;27;Female;5;1
Bachelors;2013;Bangalore;3;375;27;Male;5;1
Bachelors;2012;Bangalore;3;515;25;Male;3;0
Masters;2017;New Delhi;2;571;28;Male;2;0
Bachelors;2014;Pune;1;705;26;Female;4;1
Bachelors;2015;Bangalore;3;412;28;Male;2;0
Masters;2013;New Delhi;3;361;26;Male;4;0
Bachelors;2017;Bangalore;3;581;26;Female;4;0
Bachelors;2017;New Delhi;2;785;25;Male;3;0
Bachelors;2012;Bangalore;1;710;28;Female;3;0
PHD;2015;New Delhi;3;355;26;Male;4;0
Bachelors;2015;New Delhi;3;428;25;Female;3;0
Bachelors;2012;Bangalore;3;494;26;Male;4;1
Bachelors;2014;Bangalore;3;380;28;Female;3;0
Masters;2014;Pune;3;402;24;Male;2;0
Bachelors;2013;Bangalore;3;500;28;Male;1;0
Bachelors;2015;Pune;3;537;27;Male;5;0
Bachelors;2018;Bangalore;3;503;25;Male;3;1
Masters;2013;Pune;1;724;24;Male;2;1
Bachelors;2017;Bangalore;3;544;26;Female;4;0
Bachelors;2013;Bangalore;3;326;28;Male;1;1
Masters;2016;New Delhi;3;349;27;Male;5;0
Masters;2017;Bangalore;3;415;26;Male;4;0
Masters;2017;New Delhi;2;651;24;Male;2;0
Masters;2018;New Delhi;3;579;26;Male;4;1
Masters;2017;New Delhi;1;879;25;Female;3;1
Bachelors;2012;Pune;3;484;28;Male;2;0
Bachelors;2017;New Delhi;3;355;28;Male;2;0
Bachelors;2013;Bangalore;3;337;26;Male;4;0
Masters;2013;New Delhi;3;581;27;Male;5;1
Bachelors;2017;Pune;2;614;24;Female;2;1
Bachelors;2017;New Delhi;3;316;28;Female;2;0
Bachelors;2016;Bangalore;3;575;26;Male;4;0
Bachelors;2013;Bangalore;3;465;27;Female;5;0
Masters;2015;Pune;2;719;28;Female;3;0
Bachelors;2014;Bangalore;3;377;25;Male;3;0
Bachelors;2016;Pune;3;338;28;Male;1;0
Masters;2013;Bangalore;1;784;25;Male;3;1
Bachelors;2015;Pune;3;547;26;Male;4;0
Bachelors;2018;New Delhi;3;382;27;Female;5;1
Bachelors;2016;Bangalore;3;429;24;Male;2;1
Bachelors;2012;Pune;2;526;24;Female;2;1
Bachelors;2014;Bangalore;3;527;26;Male;4;0
Bachelors;2016;Pune;2;508;24;Female;2;1
Masters;2012;New Delhi;3;449;26;Female;4;0
Bachelors;2013;Bangalore;3;431;28;Female;3;0
Bachelors;2012;Bangalore;3;322;24;Male;2;1
Bachelors;2015;Bangalore;3;592;25;Male;3;1
Bachelors;2016;Bangalore;3;410;28;Male;3;0
Bachelors;2014;Bangalore;3;510;28;Female;3;0
Bachelors;2013;Bangalore;3;356;26;Female;4;0
Masters;2017;New Delhi;3;484;24;Female;2;1
Bachelors;2016;Bangalore;3;495;25;Male;3;1
Bachelors;2015;Bangalore;3;454;25;Male;3;0
Bachelors;2014;Bangalore;3;599;27;Male;5;0
Bachelors;2012;Bangalore;3;551;24;Male;2;0
Bachelors;2014;Bangalore;3;521;25;Male;3;0
Bachelors;2015;Bangalore;3;342;28;Male;3;0
Masters;2015;New Delhi;3;366;26;Male;4;1
Bachelors;2014;New Delhi;3;420;28;Female;1;0
Bachelors;2015;Pune;3;452;25;Male;3;0
Masters;2015;Pune;2;543;28;Female;2;0
Bachelors;2014;Bangalore;3;428;27;Female;5;0
Bachelors;2013;Bangalore;3;512;26;Male;4;0
Bachelors;2016;Bangalore;3;311;26;Male;4;0
Bachelors;2012;Bangalore;3;458;25;Male;3;0
Bachelors;2015;Bangalore;3;490;25;Male;3;0
Bachelors;2014;New Delhi;3;455;24;Female;2;0
Bachelors;2012;Bangalore;3;367;27;Male;5;1
Masters;2017;New Delhi;3;315;27;Male;5;1
Bachelors;2015;Pune;3;564;27;Male;5;0
Bachelors;2018;Bangalore;3;563;24;Male;2;1
Masters;2017;New Delhi;3;481;27;Male;5;1
Masters;2017;New Delhi;2;620;28;Female;1;1
Masters;2017;Pune;2;744;24;Male;2;1
Masters;2016;New Delhi;3;359;25;Female;3;1
PHD;2015;New Delhi;3;461;28;Female;1;0
Bachelors;2017;New Delhi;2;640;26;Male;4;0
Bachelors;2013;Bangalore;2;619;27;Male;5;0
Bachelors;2015;Bangalore;3;336;26;Male;4;0
Bachelors;2015;Bangalore;3;302;26;Male;4;0
Bachelors;2013;Bangalore;3;496;28;Male;1;0
Bachelors;2015;Bangalore;3;360;27;Female;5;0
Bachelors;2013;New Delhi;3;310;25;Female;3;0
Bachelors;2013;Pune;3;360;28;Male;1;0
Bachelors;2017;Pune;3;506;24;Male;2;0
Bachelors;2013;New Delhi;3;559;27;Female;5;0
Bachelors;2015;Bangalore;3;310;28;Male;2;0
Bachelors;2015;Pune;3;515;28;Male;3;0
Bachelors;2014;Pune;2;556;25;Female;3;1
Bachelors;2014;Bangalore;3;504;25;Male;3;0
Bachelors;2017;Bangalore;3;585;27;Male;5;0
Bachelors;2014;Pune;2;544;26;Female;4;1
PHD;2013;New Delhi;3;337;24;Male;2;0
Bachelors;2015;Pune;2;502;26;Female;4;1
Bachelors;2017;Bangalore;3;394;25;Male;3;0
Masters;2013;Pune;2;610;27;Male;5;1
Masters;2017;Bangalore;3;485;28;Male;2;0
Bachelors;2012;Bangalore;3;435;25;Male;3;1
Bachelors;2017;Bangalore;3;574;27;Male;5;0
Masters;2017;Pune;2;657;27;Female;5;0
Masters;2013;Bangalore;2;705;28;Female;2;1
Masters;2017;Pune;3;331;28;Male;1;1
Bachelors;2018;Bangalore;3;520;27;Female;5;1
Bachelors;2014;New Delhi;3;393;25;Female;3;0
Masters;2017;New Delhi;3;499;27;Male;5;1
Masters;2013;New Delhi;3;369;26;Male;4;1
Bachelors;2013;Pune;2;713;25;Female;3;1
Masters;2012;New Delhi;3;457;26;Male;4;1
Bachelors;2016;Bangalore;3;419;25;Male;3;1
Bachelors;2013;Pune;2;726;26;Male;4;0
Bachelors;2018;Bangalore;3;537;28;Female;2;1
Bachelors;2013;Bangalore;3;367;27;Male;5;0
Bachelors;2015;Pune;1;772;24;Female;2;1
Bachelors;2013;Pune;3;501;28;Male;2;0
Bachelors;2015;Pune;2;727;27;Female;5;1
Bachelors;2018;Bangalore;3;502;25;Male;3;1
Bachelors;2014;Pune;2;514;27;Female;5;1
Bachelors;2013;Pune;3;572;24;Male;2;0
Bachelors;2014;Pune;3;312;24;Male;2;0
PHD;2015;New Delhi;2;664;25;Female;3;0
Bachelors;2014;Bangalore;3;531;26;Male;4;0
Bachelors;2018;Bangalore;3;406;24;Male;2;1
Masters;2015;Pune;2;690;25;Female;3;0
Bachelors;2015;Bangalore;3;357;24;Male;2;0
Bachelors;2014;New Delhi;3;508;24;Female;2;0
Masters;2017;Bangalore;2;569;26;Female;4;1
Bachelors;2012;New Delhi;3;407;28;Male;1;0
Masters;2017;Pune;2;545;26;Female;4;0
Bachelors;2016;Pune;3;506;25;Male;3;0
Bachelors;2017;New Delhi;3;304;24;Male;2;1
Bachelors;2013;Pune;2;599;28;Female;3;1
Bachelors;2014;Bangalore;3;347;25;Female;3;1
Bachelors;2014;Bangalore;3;510;25;Male;3;0
Bachelors;2014;Pune;2;794;24;Female;2;1
Bachelors;2015;Bangalore;3;475;28;Male;2;1
Bachelors;2015;Bangalore;3;464;27;Male;5;0
Bachelors;2016;Pune;3;493;26;Male;4;0
Masters;2015;New Delhi;3;553;26;Female;4;1
Bachelors;2016;Bangalore;1;835;28;Female;2;0
Bachelors;2014;Bangalore;3;406;25;Male;3;0
Bachelors;2014;Bangalore;3;577;27;Male;5;0
Bachelors;2017;Bangalore;3;483;28;Male;2;0
Masters;2018;New Delhi;3;534;24;Female;2;1
Bachelors;2017;Pune;2;765;25;Male;3;0
Bachelors;2018;Pune;2;577;24;Female;2;1
Masters;2017;New Delhi;2;693;28;Female;1;0
Bachelors;2013;New Delhi;1;785;27;Female;5;0
Bachelors;2017;New Delhi;2;762;27;Female;5;0
Bachelors;2017;Bangalore;3;439;28;Male;1;0
Bachelors;2016;Pune;2;652;27;Female;5;1
Masters;2018;Bangalore;3;521;24;Male;2;1
Bachelors;2012;Pune;1;835;26;Male;4;0
Bachelors;2016;Bangalore;3;525;26;Male;4;0
Masters;2016;New Delhi;1;750;27;Male;5;0
Bachelors;2015;New Delhi;3;460;26;Female;4;0
Bachelors;2012;Bangalore;3;584;27;Male;5;0
Bachelors;2013;Bangalore;3;317;24;Male;2;1
Bachelors;2018;Bangalore;3;454;26;Female;4;1
Masters;2017;Pune;2;725;26;Female;4;1
Masters;2017;New Delhi;2;540;28;Female;2;0
Bachelors;2013;Pune;3;580;28;Male;1;0
Masters;2013;New Delhi;3;316;25;Male;3;0
Bachelors;2018;Bangalore;3;467;28;Female;1;1
Bachelors;2013;Pune;3;539;27;Female;5;1
Bachelors;2012;Bangalore;3;460;25;Male;3;0
Bachelors;2014;Bangalore;3;364;28;Male;1;0
Bachelors;2017;New Delhi;3;399;28;Female;3;0
Masters;2017;New Delhi;2;594;28;Male;2;0
Bachelors;2014;Bangalore;3;375;25;Male;3;0
Masters;2017;New Delhi;3;382;26;Male;4;0
Bachelors;2015;Pune;1;702;25;Female;3;1
Masters;2013;New Delhi;3;443;27;Male;5;0
PHD;2014;Bangalore;3;542;24;Female;2;0
Masters;2017;New Delhi;2;621;27;Female;5;0
Bachelors;2018;Bangalore;3;478;26;Male;4;1
Bachelors;2012;Bangalore;3;458;26;Male;4;0
Masters;2015;Pune;3;373;27;Female;5;1
Bachelors;2018;Bangalore;3;467;26;Male;4;1
Bachelors;2016;Bangalore;3;430;24;Male;2;0
Masters;2017;New Delhi;2;617;25;Female;3;0
Bachelors;2017;New Delhi;2;677;28;Male;1;0
Bachelors;2012;New Delhi;3;438;27;Female;5;0
Masters;2013;New Delhi;3;594;26;Male;4;1
Bachelors;2015;Bangalore;3;485;26;Female;4;1
Bachelors;2014;Pune;3;538;28;Male;2;0
Bachelors;2016;Bangalore;3;424;24;Female;2;1
Bachelors;2012;Bangalore;3;458;28;Male;3;0
Bachelors;2012;Bangalore;3;369;27;Male;5;0
Bachelors;2013;Bangalore;3;463;26;Male;4;0
Bachelors;2014;New Delhi;3;474;28;Female;1;0
Bachelors;2014;New Delhi;3;306;27;Female;5;0
Bachelors;2015;Pune;3;504;26;Female;4;1
Masters;2014;New Delhi;3;383;26;Male;4;1
PHD;2015;New Delhi;3;336;25;Female;3;0
Masters;2015;New Delhi;3;413;25;Male;3;0
Bachelors;2012;Pune;3;318;27;Male;5;0
Masters;2017;New Delhi;2;574;24;Female;2;0
Bachelors;2016;Bangalore;3;537;24;Male;2;0
Masters;2015;Pune;3;564;28;Female;2;0
Bachelors;2017;Bangalore;3;318;24;Female;2;0
Bachelors;2017;Pune;3;596;25;Male;3;0
Bachelors;2017;Bangalore;1;736;25;Male;3;0
Masters;2015;Pune;3;546;28;Female;2;0
Bachelors;2017;Pune;3;420;26;Male;4;0
Bachelors;2014;Pune;3;552;24;Male;2;0
Bachelors;2014;Pune;3;436;25;Female;3;1
Bachelors;2018;Pune;3;399;26;Female;4;1
Bachelors;2016;Bangalore;3;403;27;Male;5;0
Bachelors;2017;Bangalore;3;591;28;Female;2;0
Bachelors;2012;Pune;3;478;28;Male;2;0
Masters;2012;New Delhi;3;395;24;Female;2;1
Bachelors;2013;Bangalore;3;396;26;Male;4;0
Bachelors;2015;New Delhi;3;481;26;Female;4;0
Bachelors;2017;Bangalore;3;429;28;Male;1;0
Bachelors;2018;Pune;3;300;25;Male;3;1
Masters;2017;New Delhi;3;588;24;Male;2;0
Bachelors;2013;Bangalore;3;420;28;Male;2;1
Bachelors;2017;Bangalore;3;590;24;Male;2;0
Masters;2017;New Delhi;2;665;25;Female;3;1
Bachelors;2013;Pune;2;736;28;Female;1;1
Bachelors;2015;Bangalore;3;504;24;Female;2;0
Bachelors;2016;Pune;3;598;26;Male;4;0
Bachelors;2015;New Delhi;2;550;27;Female;5;1
Bachelors;2018;Bangalore;3;375;24;Female;2;1
Bachelors;2013;Bangalore;3;385;27;Female;5;0
Bachelors;2013;Bangalore;3;373;24;Male;2;0
Bachelors;2013;Bangalore;3;304;24;Female;2;0
Bachelors;2013;Bangalore;3;319;27;Male;5;0
Bachelors;2017;Bangalore;3;305;26;Female;4;0
Bachelors;2015;Bangalore;3;337;24;Female;2;0
Bachelors;2012;Pune;3;435;24;Female;2;1
Bachelors;2016;Bangalore;3;370;24;Male;2;1
Bachelors;2012;Bangalore;3;366;28;Male;3;0
Bachelors;2017;New Delhi;2;622;27;Male;5;0
Bachelors;2012;Pune;2;776;27;Female;5;1
Masters;2017;Pune;2;553;27;Male;5;0
Bachelors;2017;Pune;2;758;24;Male;2;1
Bachelors;2016;Pune;1;709;26;Female;4;1
Bachelors;2015;Pune;3;570;26;Female;4;1
Bachelors;2016;Bangalore;3;485;25;Male;3;1
Bachelors;2012;Pune;3;314;26;Male;4;0
Bachelors;2017;Bangalore;3;456;28;Male;2;0
Bachelors;2012;Bangalore;3;574;25;Male;3;0
Bachelors;2017;Bangalore;3;498;25;Female;3;0
Masters;2017;Pune;2;553;26;Male;4;0
Masters;2017;Pune;3;437;28;Male;1;1
Masters;2015;Pune;2;779;25;Female;3;1
Bachelors;2017;New Delhi;2;712;26;Female;4;0
Bachelors;2017;New Delhi;2;517;26;Male;4;0
Bachelors;2016;Bangalore;3;487;27;Male;5;0
Bachelors;2017;New Delhi;3;337;27;Female;5;0
Bachelors;2015;New Delhi;3;569;24;Female;2;0
Masters;2017;Bangalore;1;730;26;Female;4;1
Bachelors;2017;New Delhi;1;898;28;Female;2;0
Bachelors;2015;Bangalore;3;435;24;Male;2;0
Masters;2015;Pune;2;752;25;Female;3;1
Bachelors;2014;Bangalore;3;376;25;Female;3;0
Bachelors;2014;Bangalore;3;423;28;Male;2;0
Bachelors;2017;Bangalore;3;555;28;Male;3;0
Masters;2015;New Delhi;1;802;27;Male;5;0
Bachelors;2014;Pune;1;773;26;Female;4;1
Masters;2018;Bangalore;3;422;25;Male;3;1
Bachelors;2016;Bangalore;3;427;28;Female;3;0
Bachelors;2018;New Delhi;3;499;26;Female;4;1
Bachelors;2015;Pune;2;598;24;Female;2;1
Bachelors;2017;Bangalore;3;397;27;Male;5;0
Bachelors;2014;Bangalore;3;528;26;Male;4;0
Bachelors;2014;Bangalore;3;596;24;Male;2;0
Bachelors;2016;Bangalore;3;479;28;Male;2;0
Bachelors;2015;Pune;2;611;25;Female;3;1
Bachelors;2013;Pune;3;556;27;Male;5;0
Bachelors;2015;Bangalore;3;573;28;Male;3;0
Bachelors;2014;Bangalore;3;445;26;Male;4;0
Bachelors;2012;Bangalore;3;359;24;Male;2;0
Bachelors;2013;Bangalore;3;482;27;Male;5;0
Bachelors;2015;Bangalore;3;570;26;Female;4;1
Bachelors;2015;Pune;3;507;28;Male;2;0
Bachelors;2014;New Delhi;2;536;24;Female;2;1
Bachelors;2013;Bangalore;3;582;24;Male;2;0
Bachelors;2018;Bangalore;3;478;28;Male;3;1
Bachelors;2015;Pune;3;465;27;Male;5;0
Bachelors;2014;Pune;2;533;26;Male;4;0
Bachelors;2016;Bangalore;3;309;25;Male;3;1
PHD;2013;Bangalore;3;447;25;Male;3;0
Bachelors;2014;Bangalore;3;339;25;Male;3;0
Bachelors;2017;New Delhi;2;752;28;Female;1;0
Bachelors;2015;Pune;1;854;26;Female;4;1
Masters;2017;New Delhi;3;599;26;Male;4;1
Bachelors;2014;Bangalore;3;428;27;Male;5;0
Bachelors;2012;New Delhi;3;391;24;Female;2;0
Bachelors;2017;New Delhi;2;688;24;Male;2;0
Bachelors;2015;Bangalore;3;416;26;Male;4;0
Bachelors;2012;Bangalore;3;561;26;Female;4;0
Bachelors;2015;Bangalore;3;361;24;Male;2;0
Masters;2014;Pune;3;345;25;Male;3;0
Bachelors;2015;Bangalore;3;351;28;Male;2;0
Bachelors;2016;Pune;3;417;24;Male;2;0
Bachelors;2016;Bangalore;3;567;26;Female;4;0
Bachelors;2015;Pune;2;763;25;Female;3;1
Masters;2013;New Delhi;2;783;25;Male;3;1
Bachelors;2017;Pune;3;432;25;Male;3;0
Bachelors;2015;Pune;2;521;26;Female;4;1
Masters;2015;Bangalore;2;701;26;Female;4;1
Bachelors;2012;Pune;3;425;27;Female;5;0
Masters;2017;New Delhi;3;532;28;Male;2;0
Bachelors;2016;Pune;3;512;25;Male;3;0
Bachelors;2016;Bangalore;3;567;24;Male;2;0
Bachelors;2016;Pune;3;337;28;Male;1;0
Bachelors;2013;New Delhi;3;414;27;Female;5;0
Bachelors;2015;New Delhi;3;432;26;Male;4;0
Bachelors;2016;Bangalore;3;372;27;Male;5;0
Bachelors;2017;Pune;2;543;27;Male;5;0
Bachelors;2012;Bangalore;3;542;27;Male;5;0
PHD;2018;New Delhi;3;370;25;Male;3;1
Bachelors;2014;Pune;3;559;27;Male;5;0
Bachelors;2013;Bangalore;3;488;26;Female;4;0
Masters;2017;Pune;2;527;24;Female;2;1
PHD;2016;New Delhi;2;649;28;Male;3;1
Masters;2014;New Delhi;3;460;26;Male;4;1
Masters;2017;New Delhi;2;656;27;Male;5;1
PHD;2013;New Delhi;3;365;27;Male;5;0
Masters;2014;New Delhi;3;338;28;Female;1;0
Bachelors;2017;Pune;3;515;27;Male;5;0
Bachelors;2015;Pune;3;462;26;Female;4;1
Masters;2014;Bangalore;3;581;26;Male;4;1
Masters;2012;Pune;3;596;27;Male;5;0
Bachelors;2017;Bangalore;3;434;26;Male;4;0
Masters;2017;Pune;2;791;27;Male;5;1
Bachelors;2017;Bangalore;3;404;27;Male;5;0
Bachelors;2016;Bangalore;3;546;25;Male;3;1
Bachelors;2016;Pune;3;504;27;Male;5;0
Bachelors;2014;Pune;3;532;25;Male;3;0
Bachelors;2017;Bangalore;3;548;28;Male;1;0
Masters;2012;Pune;3;537;24;Male;2;0
Bachelors;2014;Bangalore;3;313;25;Male;3;0
Bachelors;2013;Pune;2;714;25;Male;3;1
Bachelors;2012;Pune;3;499;27;Male;5;0
Bachelors;2017;Bangalore;3;485;26;Male;4;0
Bachelors;2013;Pune;3;444;26;Male;4;0
Bachelors;2016;Bangalore;3;441;24;Male;2;0
Bachelors;2014;Bangalore;3;427;25;Female;3;0
Bachelors;2015;New Delhi;3;453;25;Male;3;0
PHD;2012;Pune;3;364;24;Male;2;0
Bachelors;2013;Bangalore;3;499;27;Male;5;0
Bachelors;2015;Bangalore;3;409;25;Male;3;0
Bachelors;2016;Bangalore;3;312;26;Male;4;0
Masters;2015;New Delhi;3;582;24;Female;2;0
Bachelors;2012;Bangalore;3;405;26;Male;4;0
Bachelors;2013;Pune;3;418;24;Male;2;0
Masters;2017;New Delhi;3;512;24;Male;2;1
Bachelors;2014;Bangalore;1;850;25;Male;3;0
Bachelors;2018;Bangalore;3;527;28;Male;1;1
Bachelors;2017;Bangalore;3;363;28;Male;3;0
Masters;2013;Bangalore;3;530;28;Female;2;1
Bachelors;2013;Bangalore;3;339;26;Male;4;0
Masters;2018;New Delhi;1;750;24;Male;2;1
Bachelors;2012;Bangalore;3;549;25;Male;3;0
PHD;2013;New Delhi;2;553;27;Female;5;0
Masters;2018;New Delhi;3;390;28;Male;2;1
Bachelors;2014;Bangalore;3;360;28;Male;3;1
Bachelors;2014;Pune;3;525;27;Male;5;0
Bachelors;2013;New Delhi;3;579;24;Female;2;1
Bachelors;2015;Pune;2;734;28;Female;1;1
Bachelors;2015;Pune;2;549;26;Female;4;1
Bachelors;2017;New Delhi;2;644;28;Female;3;0
Masters;2012;Pune;3;438;27;Female;5;1
Masters;2017;Pune;3;448;25;Female;3;1
Masters;2013;New Delhi;2;513;25;Male;3;1
Masters;2017;New Delhi;2;576;27;Male;5;1
Bachelors;2017;Bangalore;3;434;24;Male;2;0
Bachelors;2016;Pune;2;543;24;Female;2;1
Bachelors;2012;Bangalore;3;327;26;Female;4;0
Bachelors;2012;Bangalore;3;571;24;Male;2;1
Masters;2017;Pune;2;670;24;Male;2;0
Bachelors;2015;Pune;2;798;25;Female;3;1
Bachelors;2015;New Delhi;3;598;26;Female;4;0
Bachelors;2013;Pune;2;521;24;Male;2;1
Bachelors;2013;Pune;3;487;25;Male;3;0
PHD;2015;New Delhi;2;629;28;Female;1;0
Bachelors;2016;Pune;3;473;24;Male;2;0
Bachelors;2017;Bangalore;3;595;24;Female;2;0
Bachelors;2016;Bangalore;3;374;27;Male;5;0
Bachelors;2017;Bangalore;3;588;25;Female;3;0
Masters;2014;New Delhi;3;499;27;Male;5;0
Bachelors;2016;Bangalore;3;470;27;Male;5;0
Bachelors;2016;Bangalore;3;517;28;Female;3;0
Bachelors;2018;Pune;3;428;25;Male;3;1
Bachelors;2013;Bangalore;3;462;26;Male;4;1
Bachelors;2015;New Delhi;3;454;25;Male;3;1
Bachelors;2017;New Delhi;2;644;25;Female;3;1
Bachelors;2012;Bangalore;3;543;25;Male;3;0
Bachelors;2014;New Delhi;3;319;28;Female;2;0
Bachelors;2017;New Delhi;2;570;27;Female;5;0
Bachelors;2018;Pune;3;543;26;Male;4;1
Masters;2014;New Delhi;3;468;28;Male;2;0
Bachelors;2013;Bangalore;3;555;27;Male;5;1
Masters;2017;Pune;3;504;25;Male;3;1
Bachelors;2018;Bangalore;3;547;28;Male;2;1
Bachelors;2016;Bangalore;3;554;24;Male;2;0
Bachelors;2012;Bangalore;3;364;24;Male;2;0
Bachelors;2015;Bangalore;3;585;28;Female;1;0
Bachelors;2014;Bangalore;3;437;24;Male;2;0
